distance_km,population
0.0,4640755.323589299
5.0,25702196.783022743
10.0,53560199.45609923
15.0,82669242.74530979
20.0,108802179.31095982
25.0,128232684.2548294
30.0,147233793.97361115
35.0,167502874.9184259
40.0,175788610.36835504
45.0,188938419.44636747
50.0,193933178.48683685
55.0,200664308.62081584
60.0,217070667.00323772
65.0,223329595.08954358
70.0,218812939.05346185
75.0,210758438.09722212
80.0,222898991.07492387
85.0,221831828.53433377
90.0,213630184.03044906
95.0,215905115.2931015
100.0,202929048.87120897
